,course_code,title,instructor,distros,time,location
1,AMST0103A-S26,Asian Americas,Rachael Joo,AMR SOC,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 103 (AXN 103)
2,AMST0104A-S26,"Television & American Culture
Please register via FMMC 0104A",Jason Mittell,AMR SOC,"2:15pm-3:30pm on Tuesday, Thursday at AXN 109 (Feb 9, 2026 to May 11, 2026)
7:30pm-10:25pm on Tuesday at AXN 100 (Feb 9, 2026 to May 11, 2026)",Axinn Center 109 (AXN 109)
3,AMST0108A-S26,Childhood in America,Deb Evans,"AMR HIS, LIT","12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
4,AMST0109A-S26,U.S. Origin Stories,Holly Allen,AMR HIS,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
5,AMST0219A-S26,"Remembering Am Rev, 1776-2026",Ellery Foutch,"AMR ART, HIS","11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 220 (AXN 220)
6,AMST0234A-S26,American Consumer Culture,Holly Allen,AMR HIS,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 103 (AXN 103)
7,AMST0239A-S26,Cultural Work Country Music,William Nash,"AMR HIS, SOC","9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
8,AMST0263A-S26,"American Psycho
Please register via ENGL 0263A",Michael Newbury,AMR LIT,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 105 (AXN 105)
9,AMST0266A-S26,Greenwich Village 1912-1923,Deb Evans,"AMR HIS, LIT","9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 103 (AXN 103)
10,AMST0304A-S26,The Graphic Novel,Michael Newbury,AMR LIT,"2:15pm-3:05pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 105 (AXN 105)
11,AMST0327A-S26,Imagining Rural America,William Nash,"AMR ART, LIT","12:45pm-2:00pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
12,AMST0380A-S26,The Immigrant Memoir,Rachael Joo,"AMR CW, SOC","12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 104 (AXN 104)
13,ANTH0103A-S26,Cultural Anthropology,Michael Sheridan,CMP SOC,"9:45am-10:35am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 229 (AXN 229)
14,ANTH0107A-S26,Introduction to Archaeology,James Fitzsimmons,"CMP HIS, SOC","8:40am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 204 (JHN 204)
15,ANTH0211A-S26,Environmental Anthropology,Michael Sheridan,CMP SOC,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 103 (AXN 103)
16,ANTH0221A-S26,Indigenous Peoples of Americas,David Stoll,"AMR CMP, SOC","11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 311 (MNR 311)
17,ANTH0229A-S26,Anthro of the Middle East,Fulya Pinar,"CMP HIS, MDE, SOC","2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 311 (MNR 311)
18,ANTH0241A-S26,Anthro Warfare & Polarization,David Stoll,SOC,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 311 (MNR 311)
19,ANTH0274A-S26,Migration and Social Justice,Fulya Pinar,CMP SOC,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 406 (MNR 406)
20,ANTH0306A-S26,Anthropological Theory,Kristin Bright,SOC,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 406 (MNR 406)
21,ANTH0321A-S26,Renewing Endangered Languages,Marybeth Nevins,CMP SOC,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Sunderland Lanuage Ctr 202 (SDL 202)
22,ANTH0340A-S26,The Traveling Tonic,Kristin Bright,SOC,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Atwater Dining 102 (ATD 102)
23,ANTH0410A-S26,Sorcery in Mesoamerica,James Fitzsimmons,"AMR CMP, CW, NOR, PHL, SOC","12:45pm-2:00pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 112 (MNR 112)
24,ARBC0103A-S26,Beginning Arabic III,Maryait Khader,LNG,"9:45am-11:00am on Tuesday, Thursday at LIB 230 (Feb 9, 2026 to May 11, 2026)
9:45am-11:00am on Monday, Wednesday at LIB 230 (Feb 9, 2026 to May 11, 2026)",Library 230 (LIB 230)
25,ARBC0103B-S26,Beginning Arabic III,Dima Ayoub,LNG,"2:15pm-3:30pm on Tuesday, Thursday at MAC 209 (Feb 9, 2026 to May 11, 2026)
2:15pm-3:30pm on Monday, Wednesday at MAC 209 (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 209 (MAC 209)
26,ARBC0202A-S26,Intermediate Arabic II,Samuel Liebhaber,LNG,"8:40am-9:30am on Tuesday, Thursday, Friday at SDL 130 (Feb 9, 2026 to May 11, 2026)
9:45am-11:00am on Monday, Wednesday at SDL 130 (Feb 9, 2026 to May 11, 2026)",Sunderland Lanuage Ctr 130 (SDL 130)
27,ARBC0235A-S26,Gender Politics in Arab World,Dima Ayoub,"CMP CW, MDE, SOC","7:30pm-10:25pm on Wednesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
28,ARBC0302A-S26,Advanced Arabic II,Maryait Khader,LNG,"11:15am-12:05pm on Thursday at LIB 230 (Feb 9, 2026 to May 11, 2026)
11:15am-12:30pm on Monday, Wednesday at LIB 230 (Feb 9, 2026 to May 11, 2026)",Library 230 (LIB 230)
29,ARBC0410A-S26,Classical Arabic Prose,Samuel Liebhaber,"LIT LNG, MDE","11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 206 (75SHS 206)
30,ARDV0116A-S26,The Creative Process,Laurel Jenkins,ART,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 109 (MAC 109)
31,ART0163A-S26 ,Visual Storytelling,Michelle Leftheris,ART,"9:45am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 307 (JHN 307)
32,ART0187A-S26 ,Making Art in the 21st Century,Roger White,ART SOC,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 305 (JHN 305)
33,ART0300A-S26 ,Advanced Drawing,TBD,ART,"1:30pm-4:15pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 103 (JHN 103)
34,ART0303A-S26 ,Painting the Figure in Oil,TBD,"ART CMP, HIS","9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 303 (JHN 303)
35,ART0331A-S26 ,Hot Processes!,Margaret Jacobs,ART,"1:30pm-4:15pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 107 (JHN 107)
36,ART0349A-S26 ,The Alchemy of Photography,Michelle Leftheris,ART,"1:30pm-4:15pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 307 (JHN 307)
37,ART0371A-S26 ,Sculpture I,Margaret Jacobs,ART,"9:45am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 105 (JHN 105)
38,ART0700Z-S26 ,"Advanced Studio Thesis I
Supervised Studio Time",Roger White,,"7:00pm-8:29pm on Sunday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 108 (JHN 108)
39,ART0701Z-S26 ,"Advanced Studio Thesis II
Supervised Studio Time",Roger White,,"7:00pm-8:29pm on Sunday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 108 (JHN 108)
40,ART0702Z-S26 ,"Advanced Studio Thesis III
Supervised Studio Time",Roger White,,"7:00pm-8:29pm on Sunday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 108 (JHN 108)
41,ART0163A-S26 ,Visual Storytelling,Michelle Leftheris,ART,"9:45am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 307 (JHN 307)
42,ART0187A-S26 ,Making Art in the 21st Century,Roger White,ART SOC,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 305 (JHN 305)
43,ART0300A-S26 ,Advanced Drawing,TBD,ART,"1:30pm-4:15pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 103 (JHN 103)
44,ART0303A-S26 ,Painting the Figure in Oil,TBD,"ART CMP, HIS","9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 303 (JHN 303)
45,ART0331A-S26 ,Hot Processes!,Margaret Jacobs,ART,"1:30pm-4:15pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 107 (JHN 107)
46,ART0349A-S26 ,The Alchemy of Photography,Michelle Leftheris,ART,"1:30pm-4:15pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 307 (JHN 307)
47,ART0371A-S26 ,Sculpture I,Margaret Jacobs,ART,"9:45am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 105 (JHN 105)
48,ART0700Z-S26 ,"Advanced Studio Thesis I
Supervised Studio Time",Roger White,,"7:00pm-8:29pm on Sunday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 108 (JHN 108)
49,ART0701Z-S26 ,"Advanced Studio Thesis II
Supervised Studio Time",Roger White,,"7:00pm-8:29pm on Sunday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 108 (JHN 108)
50,ART0702Z-S26 ,"Advanced Studio Thesis III
Supervised Studio Time",Roger White,,"7:00pm-8:29pm on Sunday (Feb 9, 2026 to May 11, 2026)",Johnson Memorial Building 108 (JHN 108)
51,BIOL0140A-S26,Ecology and Evolution,Kirsten Coe,DED SCI,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 317 (MBH 317)
52,BIOL0140B-S26,Ecology and Evolution,Eric Moody,DED SCI,"9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 317 (MBH 317)
53,BIOL0145A-S26,Cell Biology and Genetics,Gregory Pask,DED SCI,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 168 (MBH 168)
54,BIOL0145B-S26,Cell Biology and Genetics,Mark Spritzer,DED SCI,"8:40am-9:30am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 317 (MBH 317)
55,BIOL0145C-S26,Cell Biology and Genetics,Andrew Swafford,DED SCI,"9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 403 (MBH 403)
56,BIOL0205A-S26,Ornithology,"Mark Spritzer, Monica Przyperhart",SCI,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 338 (MBH 338)
57,BIOL0211A-S26,Biostatistics,Eric Moody,DED,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 303 (MBH 303)
58,BIOL0219A-S26,Microbes and Social (In)equity,Erin Eggleston,SCI,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 338 (MBH 338)
59,BIOL0235A-S26,"Mighty-chondria
Please register via NSCI 0235A",Amanda Crocker,SCI,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 411 (MBH 411)
60,BIOL0248A-S26,Human Toxicology,Sam Byrne,SCI,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 403 (MBH 403)
61,BIOL0310A-S26,Microbiology,Emily Putnam,CW SCI,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 303 (MBH 303)
62,BIOL0314A-S26,Molecular Genetics,Andrew Swafford,SCI,"8:40am-9:30am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 311 (MBH 311)
63,BIOL0314B-S26,Molecular Genetics,Erik Solhaug,SCI,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 168 (MBH 168)
64,BIOL0323A-S26,Plant Community Ecology,David Allen,SCI,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 169 (MBH 169)
65,BIOL0323B-S26,Plant Community Ecology,David Allen,CW SCI,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 169 (MBH 169)
